Sector,Sub-sector,Emissions source definition,Data available through:,source_id,source_name,source_type,iso3_country,original_inventory_sector,start_time,end_time,lat,lon,geometry_ref,gas,emissions_quantity,temporal_granularity,activity,activity_units,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,capacity_factor_units,other1,other1_def,other2,other2_def,other3,other3_def,other4,other4_def,other5,other5_def,other6,other6_def,other7,other7_def,other8,other8_def,other9,other9_def,other10,other10_def,created_date,modified_date
transportation,domestic-aviation,Airport,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Trip classification: domestic or international,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total fuel consumed by the airplanes,T of fuel,Ratio between quantity of <gas> emitted and total fuel burned by airplanes,T of <gas> per T of fuel burned,Total number of flights,flights,Data not available,N/A,Departure airport code,N/A,Arrival airport name,N/A,Arrival airport code,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
transportation,international-aviation,Airport,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Trip classification: domestic or international,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total fuel consumed by the airplanes,T of fuel,Ratio between quantity of <gas> emitted and total fuel burned by airplanes,T of <gas> per T of fuel burned,Total number of flights,flights,Data not available,N/A,Departure airport code,N/A,Arrival airport name,N/A,Arrival airport code,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
transportation,road-transportation,Urban area ,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total vehicle kilometer traveled,vehicle km traveled (VKT),Ratio between quantity of <gas> emitted and total vehicle kilometer traveled,T of <gas> per VKT,Total road lengh,km,Data not available,N/A,GHSL assigned iso3 country code,N/A,GHSL name,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
transportation,road-transportation-road-segment,Road segment,"Aggregated form of emissions sources: Website downloads
Most detailed emissions sources: per request","The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Vehicle kilometer traveled,vehicle km traveled (VKT),Data not available,Data not available,Road lengh,km,Data not available,N/A,ID of urban metropolitan area,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
fossil-fuel-operations,oil-and-gas-production-and-transport,Field,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Product type,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Data not available,N/A,Emissions intensity of <gas> emitted per T of oil product produced,T of <gas> per T of product produced,Data not available,N/A,Data not available,N/A,Extraction method,N/A,T of CO2e in 100yr GWP for production processes,T,T of CO2e in 20yr GWP for production processes,T,Transport emissions estimates,T of CO2e in 100yr GWP for transport,Transport emissions estimates,T of CO2e in 20yr GWP for transport,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
fossil-fuel-operations,oil-and-gas-production-and-transport-sub-field,Sub-field,Per request,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Product type,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Data not available,N/A,Emissions intensity of <gas> emitted per T of product produced,T of <gas> per T of product produced,Data not available,N/A,Data not available,N/A,Extraction method,N/A,T of CO2e in 100yr GWP for production processes,T,T of CO2e in 20yr GWP for production processes,T,Transport emissions estimates,T of CO2e in 100yr GWP for transport,Transport emissions estimates,T of CO2e in 20yr GWP for transport,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
fossil-fuel-operations,oil-and-gas-refining,Refinery,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Refinery process type,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Data not available,N/A,Emissions intensity of <gas> emitted per barrel refined,T of <gas> per barrel refined,Data not available,N/A,Utilization rate,%,Co-located petrochemical facility id,N/A,Acidification,T of SO2eq,Particulate matter formation,T of PM 2.5eq,Human health cancer,CTU,Human health non-cancer,CTU,Ecotoxicity,CTU,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
manufacturing,petrochemicals,Petrochemical plant,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Petrochemical plant feedstock,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total ethlyne production,T per year,Ratio between quantity of <gas> emitted and ethylene produced,T of <gas> per T of ethylene produced,Maximum ethylene production,T per year,Utilization rate,%,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
fossil-fuel-operations,coal-mining,Coal mine,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Coal mine classification,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Coal extracted,T of coal,Ratio between quantity of <gas> emitted and coal extracted,T of <gas> per T of coal extracted,Coal mine capacity,T per year ,Data not available,N/A,Coal type extracted,N/A,Coal grade,N/A,Total Reserves (Proven and Probable),N/A,"Total Resource (Inferred, Indicated, Measured)",,"Primary Consumer, Destination",N/A,"Coal Plant, Steel Plant, Terminal",N/A,Mine Depth ,m,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
mineral-extraction,bauxite-mining,Bauxite mine,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Bauxite extracted,T of bauxite,Ratio between quantity of <gas> emitted and bauxite extracted,T of <gas> per T of bauxite extracted,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
mineral-extraction,iron-mining,Iron mine,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Iron extracted,T of iron,Ratio between quantity of <gas> emitted per iron extracted,T of <gas> per T of iron extracted,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
mineral-extraction,copper-mining,Copper mine,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Copper extracted,T of copper,Ratio between quantity of <gas> emitted per copper extracted,T of <gas> per T of copper extracted,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
forestry-and-land-use,forest-land-clearing,"1km by 1km resolution cleared areas aggregated to GADM levels 0, 1 and 2",Emissions source aggregations - unaggregated data available upon request.,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total Living biomass deforested,T CO2,Emissions efficiency factor,unitless,Total live biomass carbon from annual carbon stock mapping,T CO2,Fraction of deforested area,unitless,Id: level 1 GADM,N/A,Id: level 2 GADM,N/A,GADM admin level,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
forestry-and-land-use,forest-land-degradation,"1km by 1km resolution degraded areas aggregated to GADM levels 0, 1 and 2",Emissions source aggregations - unaggregated data available upon request.,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total Living biomass degradated,T CO2,Emissions efficiency factor,unitless,Total live biomass carbon from annual carbon stock mapping,T CO2,Fraction of degradated area,unitless,Id: level 1 GADM,N/A,Id: level 2 GADM,N/A,GADM admin level,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
forestry-and-land-use,forest-land-fires,"1km by 1km resolution forest burnt areas areas aggregated to GADM levels 0, 1 and 2",Emissions source aggregations - unaggregated data available upon request.,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total Living biomass burned,T CO2,Emissions efficiency factor,unitless,Total live biomass carbon from annual carbon stock mapping,T CO2,Fraction of burned area,unitless,Id: level 1 GADM,N/A,Id: level 2 GADM,N/A,GADM admin level,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
